A4_free	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20
1	115783	523332	117488	523332	115684	525078	525078	525153	525366	525366	525672	525999	526140	526140
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	57503	462918	58266	464306	57394	464484	464484	464484	464690	466014	466050	466050	466104	466212
1	179291	586956	181626	587122	180500	587248	587487	588814	588976	588994	589102	589606	589606	589606
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	23343	452086	6838	452086	29727	450646	450646	448251	445158	444656	443572	442279	436662	433483
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	176907	583224	178083	584034	176764	585240	585510	585672	585870	585870	585870	586941	587688	587778
1	160448	566940	162600	567948	161344	568416	568542	569136	569190	569354	569784	569784	569784	569856
1	116706	522164	117598	522650	116676	522758	524162	524162	524162	524306	524414	524630	524630	524746
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	184506	591280	185932	592074	184280	593134	593152	593152	593206	593494	593494	593872	593872	594106
1	150028	557344	152036	557776	150686	558226	558802	559180	559414	559490	561088	561160	561322	561430
1	196415	602710	197350	602818	196142	603214	603700	603700	603717	604780	604780	604798	604942	605158
1	121934	527579	123401	528732	122002	528822	529050	529164	529209	529506	529506	529992	530316	530442
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	73690	480660	75155	480822	74020	481013	482154	482208	482226	482424	482442	482460	482773	483756
1	93458	500249	95196	501284	94824	501392	501392	501490	502814	502814	502976	502976	502976	503624
1	211288	618348	212728	618848	211240	619482	619626	619698	620166	620618	620618	621338	621338	621446
1	173984	580232	175315	581672	173718	581916	582392	582392	582410	583789	583922	583976	584102	584102
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	167562	573662	168799	574544	167526	575102	575282	575282	575390	575552	576182	576308	576308	576308
1	208950	616526	210578	617084	208961	617120	617120	617269	618254	618308	618308	618308	618308	618308
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	70063	476040	71144	476148	70012	476882	477768	477768	477768	477768	477768	477985	479532	479578
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	177649	584328	179131	584814	177544	585336	585894	586146	586146	586218	586946	587388	587388	587600
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
